Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
313,PS 376,25499,Brooklyn,HARMAN STREET,MYRTLE AVENUE,WILSON AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:00,14:00,07:00,14:00,07:00,14:00,07:00,14:00,07:00,14:00,,,,,2021-09-27T00:00:00,320.534834751,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((1006204.2798983008 193559.60932163894, 1006396.1466405541 193816.37718081474))"
314,NYCDOE PS 151K Lyndon Baines Johnson  Elementary School,25791,Brooklyn,WEIRFIELD STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,approvedFull,"mon,tue,wed,thu,fri",11:00,13:45,11:00,13:45,11:00,13:45,11:00,13:45,09:15,13:45,,,,,2021-09-20T00:00:00,720.542455491,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1009525.461576134 191918.5364883095, 1009956.8029050529 192495.70724998415))"
315,Isabahlia Ladies of Elegance Foundation,26624,Brooklyn,LIVONIA AVENUE,POWELL STREET,JUNIUS STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,08:00,20:00,8:00,20:00,2021-05-15T00:00:00,261.579511528,11/27/2021 12:00:00 AM,,"MULTILINESTRING ((1011333.8086812198 181031.5881178975, 1011590.2025253922 181083.41511397064))"
316,Poppa & Momma Jones' Historic Community Garden,26927,Brooklyn,VAN SICLEN AVENUE,PITKIN AVENUE,GLENMORE AVENUE,approvedLimited,"thu,fri,sat",,,,,,,12:00,15:00,12:00,15:00,12:00,15:00,,,2021-05-27T00:00:00,470.043032985,10/30/2021 12:00:00 AM,,"MULTILINESTRING ((1014584.9803284705 184848.6575834751, 1014675.3771293014 184387.38882097602))"
317,Sacred Heart Catholic Academy,28222,Queens,78th Street,77th AVENUE,78th AVENUE,approvedFull,"mon,tue,wed,thu,fri",08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,2021-09-13T00:00:00,721.546526843,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1019401.3391340524 196708.9740858972, 1019616.207470715 196020.16279947758))"
318,New York City Department of Education / Ezra Jack Keats Pre-K Center,31714,Queens,83rd DRIVE,KEW GARDENS ROAD,TALBOT STREET,approvedFull,"mon,tue,wed,thu,fri",09:00,14:00,09:00,14:00,09:00,14:00,09:00,12:00,09:00,12:00,,,,,2021-10-04T00:00:00,414.677772498,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1031835.1679408848 197730.1767679006, 1032152.4701278061 197997.15425230563))"
319,Kesher Bridging Communites,35136,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,253.754869528,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1056846.5798602253 157868.327685982, 1056686.1080683023 158064.8991432339))"
320,Kesher Bridging Communites,35144,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,233.007549585,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1056526.8688854724 158257.7498073876, 1056366.3744558096 158426.6700732261))"
321,Kesher Bridging Communites,35146,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,250.096973218,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1056686.1080683023 158064.8991432339, 1056526.8688854724 158257.7498073876))"
322,Cynthia Jenkins School - PS37Q,35645,Queens,136th AVENUE,DENIS STREET,BELKNAP STREET,approvedFull,"mon,tue,wed,thu,fri",10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,2021-09-13T00:00:00,347.296848993,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1050975.3727706373 185778.51924081147, 1051281.0381698012 185943.39423914254))"
323,Kesher Bridging Communites,35115,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,41.2090194182,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1055830.7912093848 159012.9123390615, 1055806.834236309 159046.44212764502))"
324,Kesher Bridging Communites,35116,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,238.379928947,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1055967.9887696356 158817.97178405523, 1055830.7912093848 159012.9123390615))"
325,Kesher Bridging Communites,35139,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,352.914014558,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1056201.8367271423 158559.46508322656, 1056153.8122168928 158592.7032057196, 1056108.647937134 158630.51152905822, 1056066.9846346378 158672.49930597842, 1056029.3698804677 158718.1524298936, 1055996.2597104758 158766.86657130718, 1055967.9887696356 158817.97178405523))"
326,Kesher Bridging Communites,35142,Queens,READS LANE,EMPIRE AVENUE,JARVIS AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,12:00,21:00,08:00,20:00,12:00,20:00,2021-04-09T00:00:00,211.440721802,01/01/2023 12:00:00 AM,,"MULTILINESTRING ((1056366.3744558096 158426.6700732261, 1056201.8367271423 158559.46508322656))"
327,NYCDOT,37692,Brooklyn,DRIGGS AVENUE,MEEKER AVENUE,MONITOR STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-14T00:00:00,265.285981753,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((1000791.1857376397 202858.93291455507, 1000527.9057523906 202826.37064372003))"
328,SWOS,38569,Queens,SKILLMAN AVENUE,43rd STREET,39th PLACE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-28T00:00:00,260.297991716,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1005166.5779054761 211557.70259048045, 1005423.9986504763 211519.10719522834))"
329,SWOS,38571,Queens,SKILLMAN AVENUE,43rd STREET,39th PLACE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-28T00:00:00,260.129983481,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1005423.9986504763 211519.10719522834, 1005681.2396057993 211480.4458552301))"
330,Zenon Taverna/31st Ave Open Street Collective,38619,Queens,31 AVENUE,33rd STREET,35th STREET,approvedFull,"fri,sat,sun",,,,,,,,,09:00,23:00,08:00,23:00,08:00,23:00,2021-05-28T00:00:00,260.226449407,11/01/2023 12:00:00 AM,,"MULTILINESTRING ((1005890.0771146417 217480.13956446946, 1006111.68100214 217343.72284255922))"
331,SWOS,38727,Queens,39th AVENUE,WOODSIDE AVENUE,45th STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-27T00:00:00,261.020124213,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1007634.978808552 212223.86989331245, 1007893.0232399702 212184.56879080832))"
332,SWOS,38730,Queens,39th AVENUE,WOODSIDE AVENUE,45th STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-27T00:00:00,258.968356987,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1007893.0232399702 212184.56879080832, 1008149.0725966394 212145.79590247571))"
